O55143	Atp2a2	STRING
Q8BH59	Slc25a12	STRING
Q8QZY1	Eif3l	STRING
Q8BJ71	Nup93	STRING
Q7TQH0	Atxn2l	STRING
Q8BT07	Cep55	STRING
P14206	Rpsa	STRING
P80315	Cct4	STRING
Q64737	Gart	STRING
P49710	Hcls1	STRING
Q61545	Ewsr1	STRING
Q8R1B4	Eif3c	STRING
O54824	Il16	STRING
P19973	Lsp1	STRING
Q3U0V1	Khsrp	STRING
P49717	Mcm4	STRING
P62192	Psmc1	STRING
Q7TPV4	Mybbp1a	STRING
Q9WU65	Gk2	STRING
P07742	Rrm1	STRING
Q99JR8	Smarcd2	STRING
P49312	Hnrnpa1	STRING
P35564	Canx	STRING
P30416	Fkbp4	STRING
Q9QYB1	Clic4	STRING
P62962	Pfn1	STRING
Q91YQ5	Rpn1	STRING
Q61937	Npm1	STRING
P70698	Ctps	STRING
Q64337	Sqstm1	STRING
P59326	Ythdf1	STRING
Q6A0A9	Fam120a	STRING
Q9ET39	Slamf6	STRING
Q01768	Nme2	STRING
Q68FL6	Mars	STRING
Q8K4Q6	Neil1	STRING
Q8BML9	Qars	STRING
Q8BHE0	Prr11	STRING
P21855	Cd72	STRING
Q6P069	Sri	STRING
Q9JHU4	Dync1h1	STRING
O54890	Itgb3	STRING
Q9DCL9	Paics	STRING
Q9WVK4	Ehd1	STRING
P63323	Rps12	STRING
Q9CQV8	Ywhab	STRING
Q8BPU7	Elmo1	STRING
P62071	Rras2	STRING
Q8C052	Map1s	STRING
P09528	Fth1	STRING
Q8R1S4	Mtss1	STRING
P16330	Cnp	STRING
Q91VX2	Ubap2	STRING
Q9QZL0	Ripk3	STRING
P97384	Anxa11	STRING
P63037	Dnaja1	STRING
P17751	Tpi1	STRING
P52651	Rhox5	STRING
P81122	Irs2	STRING
Q9Z1Q5	Clic1	STRING
Q61768	Kif5b	STRING
Q8JZU2	Slc25a1	STRING
Q9D1G1	Rab1b	STRING
Q80X90	Flnb	STRING
P10404	UNKNOWN	no-STRING
P97461	Rps5	STRING
Q9CQD1	Rab5a	STRING
Q8VCF0	Mavs	STRING
Q80X50	Ubap2l	STRING
P48193	Epb4.1	STRING
Q9CRB9	Chchd3	STRING
P46471	Psmc2	STRING
P40142	Tkt	STRING
Q922B2	Dars	STRING
P35282	Rab21	STRING
Q60931	Vdac3	STRING
Q8K2T1	Nmral1	STRING
P63330	Ppp2ca	STRING
P62137	Ppp1ca	STRING
Q99020	Hnrnpab	STRING
P57776	Eef1d	STRING
Q99N69	Lpxn	STRING
Q7M6Y3	Picalm	STRING
Q00547	Hmmr	STRING
P70168	Kpnb1	STRING
Q501J6	Ddx17	STRING
Q8BGS1	Epb4.1l5	STRING
Q61699	Hsph1	STRING
O35295	Purb	STRING
Q9QXZ0	Macf1	STRING
Q3UMC0	Spata5	STRING
Q8BMJ2	Lars	STRING
Q9R1J0	Nsdhl	STRING
Q91YT7	Ythdf2	STRING
Q8VHR5	Gatad2b	STRING
Q8BFY9	Tnpo1	STRING
Q9D620	Rab11fip1	STRING
Q9JKP5	Mbnl1	STRING
Q8CIH5	Plcg2	STRING
P63276	Rps17	STRING
