P35279	Rab6a	RAFT
Q6ZQA6	Igsf3	RAFT
Q02053	Uba1	RAFT
P62196	Psmc5	RAFT
P19096	Fasn	RAFT
Q91V41	Rab14	RAFT
P62960	Ybx1	RAFT
P60229	Eif3e	RAFT
P35278	Rab5c	RAFT
O89053	Coro1a	RAFT
Q8BGD9	Eif4b	RAFT
Q9Z2X1	Hnrnpf	RAFT
Q6A0D4	Rftn1	RAFT
Q8BK64	Ahsa1	RAFT
Q8VIJ6	Sfpq	RAFT
P63094	Gnas	RAFT
Q8R081	Hnrnpl	RAFT
P20029	Hspa5	RAFT
Q9QUI0	Rhoa	RAFT
P53986	Slc16a1	RAFT
Q61171	Prdx2	RAFT
P62880	Gnb2	RAFT
Q9D7G0	Prps1	RAFT
P70372	Elavl1	RAFT
Q8BTM8	Flna	RAFT
Q60864	Stip1	RAFT
P42932	Cct8	RAFT
P10639	Txn	RAFT
Q8VEM8	Slc25a3	RAFT
Q01965	Ly9	RAFT
Q9CW03	Smc3	RAFT
P27601	Gna13	RAFT
Q61598	Gdi2	RAFT
P29351	Ptpn6	RAFT
P21107	Tpm3	RAFT
Q8BG05	Hnrnpa3	RAFT
O09167	Rpl21	RAFT
Q8CG48	Smc2	RAFT
Q8CJ40	Crocc	RAFT
Q61029	Tmpo	RAFT
Q9Z2Z6	Slc25a20	RAFT
Q91VR5	Ddx1	RAFT
P84078	Arf1	RAFT
P61750	Arf4	RAFT
Q68FD5	Cltc	RAFT
Q9QYJ0	Dnaja2	RAFT
P63325	Rps10	RAFT
Q80U93	Nup214	RAFT
Q9CY58	Serbp1	RAFT
O55143	Atp2a2	RAFT
Q8BH59	Slc25a12	RAFT
Q8QZY1	Eif3l	RAFT
Q8BJ71	Nup93	RAFT
Q7TQH0	Atxn2l	RAFT
Q8BT07	Cep55	RAFT
P14206	Rpsa	RAFT
P80315	Cct4	RAFT
Q64737	Gart	RAFT
P49710	Hcls1	RAFT
Q61545	Ewsr1	RAFT
Q8R1B4	Eif3c	RAFT
O54824	Il16	RAFT
P19973	Lsp1	RAFT
Q3U0V1	Khsrp	RAFT
P49717	Mcm4	RAFT
P62192	Psmc1	RAFT
Q7TPV4	Mybbp1a	RAFT
Q9WU65	Gk2	RAFT
P07742	Rrm1	RAFT
Q99JR8	Smarcd2	RAFT
P49312	Hnrnpa1	RAFT
P35564	Canx	RAFT
P30416	Fkbp4	RAFT
Q9QYB1	Clic4	RAFT
P62962	Pfn1	RAFT
Q91YQ5	Rpn1	RAFT
Q61937	Npm1	RAFT
P70698	Ctps1	RAFT
Q64337	Sqstm1	RAFT
P59326	Ythdf1	RAFT
Q6A0A9	FAM120A	RAFT
Q9ET39	Slamf6	RAFT
Q01768	Nme2	RAFT
Q68FL6	Mars	RAFT
Q8K4Q6	Neil1	RAFT
Q8BML9	Qars	RAFT
Q8BHE0	Prr11	RAFT
P21855	Cd72	RAFT
Q6P069	Sri	RAFT
Q9JHU4	Dync1h1	RAFT
O54890	Itgb3	RAFT
Q9DCL9	Paics	RAFT
Q9WVK4	Ehd1	RAFT
P63323	Rps12	RAFT
Q9CQV8	Ywhab	RAFT
Q8BPU7	Elmo1	RAFT
P62071	Rras2	RAFT
Q8C052	Map1s	RAFT
P09528	Fth1	RAFT
Q8R1S4	Mtss1	RAFT
P16330	Cnp	RAFT
Q91VX2	Ubap2	RAFT
Q9QZL0	Ripk3	RAFT
P97384	Anxa11	RAFT
P63037	Dnaja1	RAFT
P17751	Tpi1	RAFT
P52651	Rhox5	RAFT
P81122	Irs2	RAFT
Q9Z1Q5	Clic1	RAFT
Q61768	Kif5b	RAFT
Q8JZU2	Slc25a1	RAFT
Q9D1G1	Rab1b	RAFT
Q80X90	Flnb	RAFT
P10404	UNKNOWN	RAFT
P97461	Rps5	RAFT
Q9CQD1	Rab5a	RAFT
Q8VCF0	Mavs	RAFT
Q80X50	Ubap2l	RAFT
P48193	Epb41	RAFT
Q9CRB9	Chchd3	RAFT
P46471	Psmc2	RAFT
P40142	Tkt	RAFT
Q922B2	Dars	RAFT
P35282	Rab21	RAFT
Q60931	Vdac3	RAFT
Q8K2T1	Nmral1	RAFT
P63330	Ppp2ca	RAFT
P62137	Ppp1ca	RAFT
Q99020	Hnrnpab	RAFT
P57776	Eef1d	RAFT
Q99N69	Lpxn	RAFT
Q7M6Y3	Picalm	RAFT
Q00547	Hmmr	RAFT
P70168	Kpnb1	RAFT
Q501J6	Ddx17	RAFT
Q8BGS1	Epb41l5	RAFT
Q61699	Hsph1	RAFT
O35295	Purb	RAFT
Q9QXZ0	Macf1	RAFT
Q3UMC0	Spata5	RAFT
Q8BMJ2	Lars	RAFT
Q9R1J0	Nsdhl	RAFT
Q91YT7	Ythdf2	RAFT
Q8VHR5	Gatad2b	RAFT
Q8BFY9	Tnpo1	RAFT
Q9D620	Rab11fip1	RAFT
Q9JKP5	Mbnl1	RAFT
Q8CIH5	Plcg2	RAFT
P63276	Rps17	RAFT
Q9DC51	Gnai3	RAFT
P08752	Gnai2	RAFT
Q811D0	Dlg1	RAFT
Q61595	Ktn1	RAFT
Q6ZWY3	Rps27l	RAFT
Q7TQI3	Otub1	RAFT
Q6NZJ6	Eif4g1	RAFT
P0DP28	UNKNOWN	RAFT
E9Q7G0	Numa1	RAFT
Q9EPU0	Upf1	RAFT
Q4VAA2	Cdv3	RAFT
P63001	Rac1	RAFT
Q3TC46	Patl1	RAFT
P46978	Stt3a	RAFT
P97379	G3bp2	RAFT
Q3THK7	Gmps	RAFT
P60766	Cdc42	RAFT
Q91YU8	Ppan	RAFT
Q8BUV3	Gphn	RAFT
Q91Z49	Fyttd1	RAFT
Q9D358	Acp1	RAFT
P35550	Fbl	RAFT
P42567	Eps15	RAFT
O08547	Sec22b	RAFT
P68404	Prkcb	RAFT
P62320	Snrpd3	RAFT
O08756	Hsd17b10	RAFT
Q91V92	Acly	RAFT
Q3UIA2	Arhgap17	RAFT
Q9JJV2	Pfn2	RAFT
Q91VM5	Rbmxl1	RAFT
P16546	Sptan1	RAFT
Q3UU41	Scimp	RAFT
P01915	H2-Eb1	RAFT
O88685	Psmc3	RAFT
P47754	Capza2	RAFT
P47757	Capzb	RAFT
Q99KQ4	Nampt	RAFT
Q99P72	Rtn4	RAFT
P28658	Atxn10	RAFT
